Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
167.47	40.000	96.456	0.010367	102.47	143.94	5.0167	0.80362	1.4700	251.61	0.56115	12.784	0.020151	supercritical
168.18	40.000	95.723	0.010447	103.20	144.99	5.0229	0.80248	1.4613	252.49	0.55688	12.809	0.020168	supercritical
168.90	40.000	95.005	0.010526	103.93	146.03	5.0291	0.80138	1.4528	253.36	0.55266	12.835	0.020186	supercritical
169.62	40.000	94.302	0.010604	104.66	147.07	5.0353	0.80030	1.4447	254.22	0.54848	12.860	0.020205	supercritical
170.33	40.000	93.612	0.010682	105.38	148.11	5.0413	0.79926	1.4368	255.08	0.54436	12.886	0.020225	supercritical
171.05	40.000	92.937	0.010760	106.09	149.13	5.0473	0.79825	1.4292	255.93	0.54027	12.912	0.020247	supercritical
171.77	40.000	92.275	0.010837	106.80	150.15	5.0533	0.79727	1.4219	256.77	0.53624	12.938	0.020269	supercritical
172.48	40.000	91.625	0.010914	107.51	151.17	5.0592	0.79631	1.4148	257.61	0.53225	12.965	0.020293	supercritical
173.20	40.000	90.988	0.010990	108.22	152.18	5.0651	0.79538	1.4079	258.44	0.52830	12.992	0.020317	supercritical
173.92	40.000	90.362	0.011067	108.92	153.19	5.0709	0.79448	1.4012	259.26	0.52439	13.019	0.020342	supercritical
174.63	40.000	89.748	0.011142	109.62	154.19	5.0766	0.79360	1.3948	260.08	0.52053	13.047	0.020368	supercritical
175.35	40.000	89.146	0.011218	110.32	155.19	5.0823	0.79274	1.3885	260.89	0.51671	13.074	0.020395	supercritical
176.07	40.000	88.554	0.011293	111.01	156.18	5.0880	0.79191	1.3824	261.70	0.51294	13.102	0.020423	supercritical
176.78	40.000	87.972	0.011367	111.70	157.17	5.0936	0.79109	1.3765	262.50	0.50920	13.130	0.020451	supercritical
177.50	40.000	87.400	0.011442	112.39	158.15	5.0991	0.79030	1.3708	263.30	0.50550	13.159	0.020480	supercritical
178.22	40.000	86.839	0.011516	113.07	159.13	5.1046	0.78953	1.3652	264.09	0.50185	13.187	0.020510	supercritical
178.93	40.000	86.286	0.011589	113.75	160.11	5.1101	0.78878	1.3598	264.87	0.49823	13.216	0.020540	supercritical
179.65	40.000	85.743	0.011663	114.43	161.08	5.1155	0.78805	1.3546	265.65	0.49466	13.244	0.020570	supercritical
180.37	40.000	85.209	0.011736	115.11	162.05	5.1209	0.78733	1.3495	266.42	0.49112	13.273	0.020602	supercritical
181.08	40.000	84.684	0.011809	115.78	163.02	5.1263	0.78664	1.3445	267.19	0.48762	13.303	0.020634	supercritical
181.80	40.000	84.167	0.011881	116.45	163.98	5.1316	0.78596	1.3397	267.96	0.48415	13.332	0.020666	supercritical
182.52	40.000	83.658	0.011953	117.12	164.94	5.1368	0.78529	1.3350	268.72	0.48073	13.361	0.020699	supercritical
183.23	40.000	83.157	0.012025	117.79	165.89	5.1420	0.78465	1.3304	269.47	0.47734	13.391	0.020732	supercritical
183.95	40.000	82.664	0.012097	118.46	166.84	5.1472	0.78402	1.3260	270.22	0.47398	13.421	0.020766	supercritical
184.67	40.000	82.178	0.012169	119.12	167.79	5.1524	0.78340	1.3216	270.97	0.47066	13.450	0.020800	supercritical
185.38	40.000	81.700	0.012240	119.78	168.74	5.1575	0.78280	1.3174	271.71	0.46738	13.480	0.020834	supercritical
186.10	40.000	81.228	0.012311	120.44	169.68	5.1626	0.78221	1.3133	272.45	0.46412	13.510	0.020869	supercritical
186.82	40.000	80.764	0.012382	121.09	170.62	5.1676	0.78163	1.3092	273.18	0.46091	13.541	0.020904	supercritical
187.53	40.000	80.307	0.012452	121.75	171.56	5.1726	0.78107	1.3053	273.91	0.45772	13.571	0.020940	supercritical
188.25	40.000	79.856	0.012523	122.40	172.49	5.1776	0.78052	1.3015	274.64	0.45457	13.601	0.020976	supercritical
188.97	40.000	79.411	0.012593	123.05	173.42	5.1825	0.77999	1.2978	275.36	0.45145	13.632	0.021012	supercritical
189.68	40.000	78.973	0.012663	123.70	174.35	5.1874	0.77946	1.2941	276.08	0.44836	13.662	0.021049	supercritical
190.40	40.000	78.541	0.012732	124.35	175.28	5.1923	0.77895	1.2906	276.79	0.44531	13.693	0.021085	supercritical
191.12	40.000	78.115	0.012802	125.00	176.20	5.1971	0.77845	1.2871	277.50	0.44228	13.724	0.021122	supercritical
191.83	40.000	77.695	0.012871	125.64	177.12	5.2019	0.77796	1.2837	278.21	0.43929	13.755	0.021160	supercritical
192.55	40.000	77.280	0.012940	126.28	178.04	5.2067	0.77748	1.2804	278.91	0.43632	13.786	0.021197	supercritical
193.27	40.000	76.871	0.013009	126.92	178.96	5.2115	0.77701	1.2771	279.61	0.43338	13.817	0.021235	supercritical
193.98	40.000	76.467	0.013077	127.56	179.87	5.2162	0.77655	1.2739	280.31	0.43048	13.848	0.021273	supercritical
194.70	40.000	76.069	0.013146	128.20	180.78	5.2209	0.77610	1.2708	281.00	0.42760	13.879	0.021311	supercritical
195.42	40.000	75.676	0.013214	128.84	181.69	5.2256	0.77566	1.2678	281.69	0.42475	13.910	0.021350	supercritical
196.13	40.000	75.288	0.013282	129.47	182.60	5.2302	0.77522	1.2648	282.37	0.42192	13.941	0.021388	supercritical
196.85	40.000	74.905	0.013350	130.11	183.51	5.2348	0.77480	1.2619	283.05	0.41913	13.973	0.021427	supercritical
197.57	40.000	74.526	0.013418	130.74	184.41	5.2394	0.77439	1.2591	283.73	0.41636	14.004	0.021466	supercritical
198.28	40.000	74.153	0.013486	131.37	185.31	5.2439	0.77398	1.2563	284.41	0.41362	14.036	0.021505	supercritical
199.00	40.000	73.784	0.013553	132.00	186.21	5.2485	0.77359	1.2536	285.08	0.41090	14.067	0.021545	supercritical
199.72	40.000	73.419	0.013620	132.63	187.11	5.2530	0.77320	1.2509	285.75	0.40821	14.099	0.021584	supercritical
200.43	40.000	73.059	0.013688	133.25	188.00	5.2574	0.77281	1.2483	286.41	0.40555	14.130	0.021624	supercritical
201.15	40.000	72.703	0.013754	133.88	188.90	5.2619	0.77244	1.2457	287.08	0.40291	14.162	0.021664	supercritical
201.87	40.000	72.352	0.013821	134.50	189.79	5.2663	0.77207	1.2432	287.74	0.40029	14.194	0.021704	supercritical
202.58	40.000	72.005	0.013888	135.13	190.68	5.2707	0.77171	1.2408	288.40	0.39770	14.225	0.021744	supercritical
203.30	40.000	71.662	0.013954	135.75	191.57	5.2751	0.77136	1.2384	289.05	0.39514	14.257	0.021784	supercritical
204.02	40.000	71.322	0.014021	136.37	192.45	5.2794	0.77102	1.2360	289.70	0.39260	14.289	0.021825	supercritical
204.73	40.000	70.987	0.014087	136.99	193.34	5.2838	0.77068	1.2337	290.35	0.39008	14.321	0.021865	supercritical
205.45	40.000	70.656	0.014153	137.61	194.22	5.2881	0.77034	1.2314	291.00	0.38758	14.353	0.021906	supercritical
206.17	40.000	70.328	0.014219	138.23	195.10	5.2924	0.77002	1.2292	291.64	0.38511	14.385	0.021947	supercritical
206.88	40.000	70.004	0.014285	138.85	195.98	5.2966	0.76970	1.2270	292.28	0.38266	14.417	0.021988	supercritical
207.60	40.000	69.683	0.014351	139.46	196.86	5.3009	0.76938	1.2248	292.92	0.38023	14.449	0.022029	supercritical
208.32	40.000	69.367	0.014416	140.08	197.74	5.3051	0.76907	1.2227	293.55	0.37782	14.481	0.022070	supercritical
209.03	40.000	69.053	0.014482	140.69	198.62	5.3093	0.76877	1.2207	294.19	0.37544	14.513	0.022111	supercritical
209.75	40.000	68.743	0.014547	141.30	199.49	5.3135	0.76847	1.2186	294.82	0.37308	14.545	0.022152	supercritical
210.47	40.000	68.437	0.014612	141.91	200.36	5.3176	0.76818	1.2167	295.44	0.37073	14.577	0.022193	supercritical
211.18	40.000	68.133	0.014677	142.53	201.23	5.3217	0.76789	1.2147	296.07	0.36841	14.610	0.022235	supercritical
211.90	40.000	67.833	0.014742	143.14	202.10	5.3259	0.76761	1.2128	296.69	0.36611	14.642	0.022276	supercritical
212.62	40.000	67.536	0.014807	143.74	202.97	5.3299	0.76734	1.2109	297.31	0.36383	14.674	0.022318	supercritical
213.33	40.000	67.242	0.014872	144.35	203.84	5.3340	0.76706	1.2090	297.93	0.36157	14.706	0.022360	supercritical
214.05	40.000	66.952	0.014936	144.96	204.71	5.3381	0.76680	1.2072	298.55	0.35932	14.738	0.022401	supercritical
214.77	40.000	66.664	0.015001	145.57	205.57	5.3421	0.76654	1.2054	299.16	0.35710	14.771	0.022443	supercritical
215.48	40.000	66.379	0.015065	146.17	206.43	5.3461	0.76628	1.2037	299.77	0.35490	14.803	0.022485	supercritical
216.20	40.000	66.097	0.015129	146.78	207.30	5.3501	0.76602	1.2019	300.38	0.35271	14.835	0.022527	supercritical
216.92	40.000	65.818	0.015193	147.38	208.16	5.3541	0.76578	1.2002	300.99	0.35055	14.868	0.022569	supercritical
217.63	40.000	65.542	0.015257	147.99	209.02	5.3580	0.76553	1.1986	301.59	0.34840	14.900	0.022611	supercritical
